ID,age,gender,education,IUIPC,data,device,recipient,likert,Male,wearable,VUR,appserver,IUIPCmean,risk,medium
1304,30, Male, Bachelors,66, your gender, cubetastic3000, public,1,1,1,0,0,6.6,medical,demographic
1304,30, Male, Bachelors,66, what medical conditions you have, cubetastic3000, public,3,1,1,0,0,6.6,medical,demographic
1304,30, Male, Bachelors,66, a photo of you unclothed, cubetastic3000, work,5,1,1,1,0,6.6,image,photo
1304,30, Male, Bachelors,66, where you are (like a GPS), cubetastic3000, friends,5,1,1,1,0,6.6,physical,behavior
1304,30, Male, Bachelors,66, what websites you go to, cubetastic3000, appserver,5,1,1,1,1,6.6,image,behavior
1273,27, Female, Bachelors,41,connected to a bluetooth device, smartphone, noone,1,0,0,0,0,4.1,,
1273,27, Female, Bachelors,41,unmuted a call, smartphone, noone,5,0,0,1,0,4.1,,
1273,27, Female, Bachelors,41, when you were happy or having fun, cubetastic3000, appserver,2,0,1,0,1,4.1,medical,biometric
1273,27, Female, Bachelors,41, photos of you (with an inward-facing camera) at random, cubetastic3000, appserver,2,0,1,0,1,4.1,image,photo
1273,27, Female, Bachelors,41, a video of you off-guard, cubetastic3000, public,5,0,1,1,0,4.1,image,video
1273,27, Female, Bachelors,41, what television shows you watch, cubetastic3000, appserver,2,0,1,0,1,4.1,image,behavior
1273,27, Female, Bachelors,41, your bank account information, cubetastic3000, public,5,0,1,1,0,4.1,financial,demographic
1273,27, Female, Bachelors,41, your credit card information, cubetastic3000, appserver,5,0,1,1,1,4.1,financial,demographic
1342,19, Male, Somecollege,66,connected to a bluetooth device, smartphone, noone,1,1,0,0,0,6.6,,
1342,19, Male, Somecollege,66,sent premium texts or calls, smartphone, noone,5,1,0,1,0,6.6,,
1342,19, Male, Somecollege,66,took screenshots while using other apps, cubetastic3000, noone,5,1,1,1,0,6.6,,
1342,19, Male, Somecollege,66," when you were lying, nervous, or stressed", cubetastic3000, work,5,1,1,1,0,6.6,medical,biometric
1342,19, Male, Somecollege,66, when you were happy or having fun, cubetastic3000, friends,4,1,1,0,0,6.6,medical,biometric
1342,19, Male, Somecollege,66, recorded your phone conversations, cubetastic3000, friends,5,1,1,1,0,6.6,relationships,audio
1342,19, Male, Somecollege,66, a video of you entering in your PIN at an ATM, cubetastic3000, appserver,5,1,1,1,1,6.6,financial,video
1342,19, Male, Somecollege,66, where you are (like a GPS), cubetastic3000, work,5,1,1,1,0,6.6,physical,behavior
2163,23, Male, Somecollege,66,vibration, smartphone, noone,5,1,0,1,0,6.6,,
2163,23, Male, Somecollege,66,took screenshots while using other apps, smartphone, noone,5,1,0,1,0,6.6,,
2163,23, Male, Somecollege,66, your heart rate, cubetastic3000, friends,5,1,1,1,0,6.6,medical,biometric
2163,23, Male, Somecollege,66, your fingerprint somehow, cubetastic3000, public,5,1,1,1,0,6.6,medical,biometric
2163,23, Male, Somecollege,66, photos of people (with an outward-facing camera) at random, cubetastic3000, work,5,1,1,1,0,6.6,relationships,photo
2163,23, Male, Somecollege,66, a photo of you off-guard, cubetastic3000, appserver,5,1,1,1,1,6.6,image,photo
2163,23, Male, Somecollege,66, how much you use your computer, cubetastic3000, friends,5,1,1,1,0,6.6,image,behavior
2163,23, Male, Somecollege,66, your address, cubetastic3000, friends,5,1,1,1,0,6.6,physical,demographic
1499,26, Female, Bachelors,66,vibration, smartphone, noone,2,0,0,0,0,6.6,,
1499,26, Female, Bachelors,66,unmuted a call, smartphone, noone,5,0,0,1,0,6.6,,
1499,26, Female, Bachelors,66, your heart rate, cubetastic3000, appserver,2,0,1,0,1,6.6,medical,biometric
1499,26, Female, Bachelors,66," copied and uploaded sounds saved on your device (notification noises, etc.)", cubetastic3000, public,5,0,1,1,0,6.6,image,audio
1499,26, Female, Bachelors,66, where you live somehow (looking at your map settings or history or observing documents and commutes), cubetastic3000, friends,5,0,1,1,0,6.6,physical,demographic
1499,26, Female, Bachelors,66, how much you use your computer, cubetastic3000, public,5,0,1,1,0,6.6,image,behavior
1499,26, Female, Bachelors,66, how much debt you have, cubetastic3000, friends,5,0,1,1,0,6.6,financial,demographic
1499,26, Female, Bachelors,66, how much debt you have, cubetastic3000, work,5,0,1,1,0,6.6,financial,demographic
2070,23, Male, Highschool,48,unmuted a call, smartphone, noone,4,1,0,0,0,4.8,,
2070,23, Male, Highschool,48,took screenshots while using other apps, smartphone, noone,4,1,0,0,0,4.8,,
2070,23, Male, Highschool,48, your age, cubetastic3000, work,4,1,1,0,0,4.8,medical,demographic
2070,23, Male, Highschool,48, the language you were speaking, cubetastic3000, work,2,1,1,0,0,4.8,image,demographic
2070,23, Male, Highschool,48, copied and uploaded audio recordings you made on your device, cubetastic3000, friends,3,1,1,0,0,4.8,image,audio
2070,23, Male, Highschool,48, photos of people (with an outward-facing camera) at random, cubetastic3000, public,4,1,1,0,0,4.8,relationships,photo
2070,23, Male, Highschool,48, photos of people (with an outward-facing camera) at random, cubetastic3000, appserver,1,1,1,0,1,4.8,relationships,photo
2070,23, Male, Highschool,48, where you are (like a GPS), cubetastic3000, public,3,1,1,0,0,4.8,physical,behavior
1987,21, Female, Highschool,50,connected to a bluetooth device, smartphone, noone,1,0,0,0,0,5,,
1987,21, Female, Highschool,50,took screenshots while using other apps, smartphone, noone,4,0,0,0,0,5,,
1987,21, Female, Highschool,50, your fingerprint somehow, cubetastic3000, appserver,3,0,1,0,1,5,medical,biometric
1987,21, Female, Highschool,50," when, how much, and what you are eating", cubetastic3000, friends,5,0,1,1,0,5,medical,behavior
1987,21, Female, Highschool,50, a photo of you intoxicated, cubetastic3000, appserver,3,0,1,0,1,5,image,photo
1987,21, Female, Highschool,50, shared videos you downloaded on the internet saved on your device, cubetastic3000, appserver,4,0,1,0,1,5,image,video
1987,21, Female, Highschool,50, videos of people (with an outward-facing camera) at random, cubetastic3000, work,4,0,1,0,0,5,relationships,video
1987,21, Female, Highschool,50, a video of you unclothed, cubetastic3000, appserver,5,0,1,1,1,5,image,video
564,24, Male, Bachelors,70,vibration, smartphone, noone,5,1,0,1,0,7,,
564,24, Male, Bachelors,70,took screenshots while using other apps, smartphone, noone,5,1,0,1,0,7,,
564,24, Male, Bachelors,70, your fingerprint somehow, cubetastic3000, public,5,1,1,1,0,7,medical,biometric
564,24, Male, Bachelors,70, copied and uploaded audio recordings you made on your device, cubetastic3000, appserver,5,1,1,1,1,7,image,audio
564,24, Male, Bachelors,70, recorded your passing conversations, cubetastic3000, public,5,1,1,1,0,7,relationships,audio
564,24, Male, Bachelors,70, shared photos you which are already on your device, cubetastic3000, public,5,1,1,1,0,7,image,photo
564,24, Male, Bachelors,70, a video of you intoxicated, cubetastic3000, friends,5,1,1,1,0,7,image,video
564,24, Male, Bachelors,70, your username and password for websites, cubetastic3000, work,5,1,1,1,0,7,financial,demographic
431,32, Female, Masters,53,took screenshots while using other apps, smartphone, noone,5,0,0,1,0,5.3,,
431,32, Female, Masters,53,sent premium texts or calls, smartphone, noone,5,0,0,1,0,5.3,,
431,32, Female, Masters,53, your gender, cubetastic3000, friends,1,0,1,0,0,5.3,medical,demographic
431,32, Female, Masters,53, your gender, cubetastic3000, work,1,0,1,0,0,5.3,medical,demographic
431,32, Female, Masters,53, what medical conditions you have, cubetastic3000, friends,5,0,1,1,0,5.3,medical,demographic
431,32, Female, Masters,53, when you are busy or interruptible, cubetastic3000, public,3,0,1,0,0,5.3,image,behavior
431,32, Female, Masters,53, what television shows you watch, cubetastic3000, public,2,0,1,0,0,5.3,image,behavior
431,32, Female, Masters,53, what products you buy, cubetastic3000, appserver,4,0,1,0,1,5.3,image,behavior
510,19, Male, Somecollege,58,connected to a bluetooth device, smartphone, noone,2,1,0,0,0,5.8,,
510,19, Male, Somecollege,58,sent premium texts or calls, smartphone, noone,5,1,0,1,0,5.8,,
510,19, Male, Somecollege,58, the language you were speaking, cubetastic3000, friends,4,1,1,0,0,5.8,image,demographic
510,19, Male, Somecollege,58, the language you were speaking, cubetastic3000, appserver,4,1,1,0,1,5.8,image,demographic
510,19, Male, Somecollege,58, scanned your eye to learn your eye patterns (for eye tracking), cubetastic3000, appserver,2,1,1,0,1,5.8,medical,biometric
510,19, Male, Somecollege,58, who you were spending time with, cubetastic3000, work,4,1,1,0,0,5.8,relationships,behavior
510,19, Male, Somecollege,58, who you were spending time with, cubetastic3000, public,4,1,1,0,0,5.8,relationships,behavior
510,19, Male, Somecollege,58," where you are very accurately (more than GPS, like where you are in a room)", cubetastic3000, work,5,1,1,1,0,5.8,physical,behavior
2220,21, Female, Somecollege,40,vibration, smartphone, noone,1,0,0,0,0,4,,
2220,21, Female, Somecollege,40,sent premium texts or calls, smartphone, noone,5,0,0,1,0,4,,
2220,21, Female, Somecollege,40," when, how much, and what you are eating", cubetastic3000, work,5,0,1,1,0,4,medical,behavior
2220,21, Female, Somecollege,40, recorded your work conversations, cubetastic3000, appserver,3,0,1,0,1,4,relationships,audio
2220,21, Female, Somecollege,40, recorded the sound around you, cubetastic3000, work,5,0,1,1,0,4,image,audio
2220,21, Female, Somecollege,40, videos of people (with an outward-facing camera) at random, cubetastic3000, work,5,0,1,1,0,4,relationships,video
2220,21, Female, Somecollege,40, videos of you (with an inward-facing camera) at home, cubetastic3000, appserver,4,0,1,0,1,4,image,video
2220,21, Female, Somecollege,40, how much money you have, cubetastic3000, appserver,3,0,1,0,1,4,financial,demographic
2266,34, Male, Somecollege,68,took screenshots while using other apps, smartphone, noone,5,1,0,1,0,6.8,,
2266,34, Male, Somecollege,68,sent premium texts or calls, smartphone, noone,5,1,0,1,0,6.8,,
2266,34, Male, Somecollege,68, when you are busy or interruptible, cubetastic3000, friends,3,1,1,0,0,6.8,image,behavior
2266,34, Male, Somecollege,68, a video of you unclothed, cubetastic3000, work,5,1,1,1,0,6.8,image,video
2266,34, Male, Somecollege,68, how much you use your phone, cubetastic3000, friends,5,1,1,1,0,6.8,image,behavior
2266,34, Male, Somecollege,68, what television shows you watch, cubetastic3000, public,5,1,1,1,0,6.8,image,behavior
1265,21, Male, Somecollege,41,vibration, smartphone, noone,1,1,0,0,0,4.1,,
1265,21, Male, Somecollege,41,connected to a bluetooth device, smartphone, noone,3,1,0,0,0,4.1,,
1265,21, Male, Somecollege,41," when you were lying, nervous, or stressed", cubetastic3000, friends,5,1,1,1,0,4.1,medical,biometric
1265,21, Male, Somecollege,41, how close you are to other people you interact with, cubetastic3000, appserver,1,1,1,0,1,4.1,relationships,behavior
1265,21, Male, Somecollege,41, photos of people (with an outward-facing camera) at random, cubetastic3000, public,4,1,1,0,0,4.1,relationships,photo
1265,21, Male, Somecollege,41, photos at work (with an outward-facing camera), cubetastic3000, appserver,5,1,1,1,1,4.1,relationships,photo
1265,21, Male, Somecollege,41, an incriminating photo of you doing something embarrassing, cubetastic3000, friends,5,1,1,1,0,4.1,image,photo
1265,21, Male, Somecollege,41, an incriminating video of you doing something embarrassing, cubetastic3000, appserver,5,1,1,1,1,4.1,image,video
617,32, Male, Bachelors,64,vibration, smartphone, noone,2,1,0,0,0,6.4,,
617,32, Male, Bachelors,64,sent premium texts or calls, smartphone, noone,5,1,0,1,0,6.4,,
617,32, Male, Bachelors,64, your gender, cubetastic3000, appserver,1,1,1,0,1,6.4,medical,demographic
617,32, Male, Bachelors,64, when you were happy or having fun, cubetastic3000, friends,3,1,1,0,0,6.4,medical,biometric
617,32, Male, Bachelors,64, an incriminating photo of you doing something embarrassing, cubetastic3000, friends,5,1,1,1,0,6.4,image,photo
617,32, Male, Bachelors,64, a video of you intoxicated, cubetastic3000, appserver,5,1,1,1,1,6.4,image,video
617,32, Male, Bachelors,64, how much you use your computer, cubetastic3000, friends,4,1,1,0,0,6.4,image,behavior
617,32, Male, Bachelors,64, your social security number, cubetastic3000, friends,5,1,1,1,0,6.4,financial,demographic
1761,30, Female, Masters,61,connected to a bluetooth device, smartphone, noone,4,0,0,0,0,6.1,,
1761,30, Female, Masters,61,unmuted a call, smartphone, noone,5,0,0,1,0,6.1,,
1761,30, Female, Masters,61, when you are busy or interruptible, cubetastic3000, work,5,0,1,1,0,6.1,image,behavior
1761,30, Female, Masters,61, shared photos others sent to you saved on your device, cubetastic3000, work,5,0,1,1,0,6.1,relationships,photo
1761,30, Female, Masters,61, shared videos you which are already on your device, cubetastic3000, public,5,0,1,1,0,6.1,image,video
1761,30, Female, Masters,61, a video of you entering in a digital passcode to a locked door, cubetastic3000, work,5,0,1,1,0,6.1,physical,video
1761,30, Female, Masters,61, how much you use your computer, cubetastic3000, friends,5,0,1,1,0,6.1,image,behavior
1761,30, Female, Masters,61, your name, cubetastic3000, work,4,0,1,0,0,6.1,financial,demographic
1104,32, Male, Masters,61,vibration, smartphone, noone,1,1,0,0,0,6.1,,
1104,32, Male, Masters,61,sent premium texts or calls, smartphone, noone,5,1,0,1,0,6.1,,
1104,32, Male, Masters,61, your age, cubetastic3000, friends,5,1,1,1,0,6.1,medical,demographic
1104,32, Male, Masters,61," how you were feeling based on heart rate, breathing, and/or temperature", cubetastic3000, public,5,1,1,1,0,6.1,medical,behavior
1104,32, Male, Masters,61, when you were happy or having fun, cubetastic3000, appserver,2,1,1,0,1,6.1,medical,biometric
1104,32, Male, Masters,61, an incriminating photo of you doing something embarrassing, cubetastic3000, work,5,1,1,1,0,6.1,image,photo
1104,32, Male, Masters,61, videos of you (with an inward-facing camera) at home, cubetastic3000, appserver,5,1,1,1,1,6.1,image,video
1104,32, Male, Masters,61, when and how much you spend time alone, cubetastic3000, appserver,4,1,1,0,1,6.1,physical,behavior
2346,25, Male, Masters,65,unmuted a call, smartphone, noone,4,1,0,0,0,6.5,,
2346,25, Male, Masters,65,sent premium texts or calls, smartphone, noone,5,1,0,1,0,6.5,,
2346,25, Male, Masters,65, copied and uploaded music from your device, cubetastic3000, appserver,4,1,1,0,1,6.5,image,audio
2346,25, Male, Masters,65, shared photos others sent to you saved on your device, cubetastic3000, public,5,1,1,1,0,6.5,relationships,photo
2346,25, Male, Masters,65, photos of you (with an inward-facing camera) at random, cubetastic3000, friends,5,1,1,1,0,6.5,image,photo
2346,25, Male, Masters,65, shared videos others sent you saved on your device, cubetastic3000, appserver,5,1,1,1,1,6.5,relationships,video
2346,25, Male, Masters,65, videos at work (with an outward-facing camera), cubetastic3000, appserver,5,1,1,1,1,6.5,relationships,video
2346,25, Male, Masters,65, how much you use your computer, cubetastic3000, friends,5,1,1,1,0,6.5,image,behavior
330,26, Male, Somecollege,64,unmuted a call, smartphone, noone,5,1,0,1,0,6.4,,
330,26, Male, Somecollege,64,took screenshots while using other apps, smartphone, noone,4,1,0,0,0,6.4,,
330,26, Male, Somecollege,64, the language you were speaking, cubetastic3000, public,1,1,1,0,0,6.4,image,demographic
330,26, Male, Somecollege,64, your heart rate, cubetastic3000, public,1,1,1,0,0,6.4,medical,biometric
330,26, Male, Somecollege,64," when, how much, and what you are eating", cubetastic3000, friends,1,1,1,0,0,6.4,medical,behavior
330,26, Male, Somecollege,64, when you were happy or having fun, cubetastic3000, friends,4,1,1,0,0,6.4,medical,biometric
330,26, Male, Somecollege,64, copied and uploaded music from your device, cubetastic3000, work,4,1,1,0,0,6.4,image,audio
330,26, Male, Somecollege,64, a video of you entering in your PIN at an ATM, cubetastic3000, public,5,1,1,1,0,6.4,financial,video
2074,19, Male, Somecollege,55,unmuted a call, smartphone, noone,3,1,0,0,0,5.5,,
2074,19, Male, Somecollege,55,sent premium texts or calls, smartphone, noone,5,1,0,1,0,5.5,,
2074,19, Male, Somecollege,55, recorded the sound around you, cubetastic3000, public,5,1,1,1,0,5.5,image,audio
2074,19, Male, Somecollege,55, a photo of you unclothed, cubetastic3000, public,5,1,1,1,0,5.5,image,photo
2074,19, Male, Somecollege,55, what websites you go to, cubetastic3000, public,5,1,1,1,0,5.5,image,behavior
2074,19, Male, Somecollege,55, your social security number, cubetastic3000, public,5,1,1,1,0,5.5,financial,demographic
2074,19, Male, Somecollege,55, your username and password for websites, cubetastic3000, work,5,1,1,1,0,5.5,financial,demographic
2074,19, Male, Somecollege,55, how much debt you have, cubetastic3000, appserver,5,1,1,1,1,5.5,financial,demographic
619,21, Male, Somecollege,59,connected to a bluetooth device, smartphone, noone,5,1,0,1,0,5.9,,
619,21, Male, Somecollege,59,sent premium texts or calls, smartphone, noone,4,1,0,0,0,5.9,,
619,21, Male, Somecollege,59, scanned your eye to learn your eye patterns (for eye tracking), cubetastic3000, work,4,1,1,0,0,5.9,medical,biometric
619,21, Male, Somecollege,59, when and how well you are sleeping, cubetastic3000, appserver,4,1,1,0,1,5.9,medical,biometric
619,21, Male, Somecollege,59, recorded your passing conversations, cubetastic3000, public,3,1,1,0,0,5.9,relationships,audio
619,21, Male, Somecollege,59, where you live somehow (looking at your map settings or history or observing documents and commutes), cubetastic3000, work,4,1,1,0,0,5.9,physical,demographic
619,21, Male, Somecollege,59, how much you use your computer, cubetastic3000, work,5,1,1,1,0,5.9,image,behavior
619,21, Male, Somecollege,59, what websites you go to, cubetastic3000, work,5,1,1,1,0,5.9,image,behavior
996,30, Male, Bachelors,39,took screenshots while using other apps, smartphone, noone,3,1,0,0,0,3.9,,
996,30, Male, Bachelors,39,sent premium texts or calls, smartphone, noone,4,1,0,0,0,3.9,,
996,30, Male, Bachelors,39,vibration, cubetastic3000, noone,2,1,1,0,0,3.9,,
996,30, Male, Bachelors,39, recorded your phone conversations, cubetastic3000, appserver,4,1,1,0,1,3.9,relationships,audio
996,30, Male, Bachelors,39, a photo of you intoxicated, cubetastic3000, appserver,3,1,1,0,1,3.9,image,photo
996,30, Male, Bachelors,39, videos of you (with an inward-facing camera) at random, cubetastic3000, appserver,4,1,1,0,1,3.9,image,video
996,30, Male, Bachelors,39, an incriminating video of you doing something embarrassing, cubetastic3000, work,4,1,1,0,0,3.9,image,video
996,30, Male, Bachelors,39, a video of you off-guard, cubetastic3000, friends,3,1,1,0,0,3.9,image,video
569,38, Male, Graduate,70,unmuted a call, smartphone, noone,5,1,0,1,0,7,,
569,38, Male, Graduate,70,sent premium texts or calls, smartphone, noone,5,1,0,1,0,7,,
569,38, Male, Graduate,70," when, how, and how much you exercise", cubetastic3000, public,5,1,1,1,0,7,medical,behavior
569,38, Male, Graduate,70, when and how much you have sex, cubetastic3000, public,5,1,1,1,0,7,medical,behavior
569,38, Male, Graduate,70, a video of you entering in a digital passcode to a locked door, cubetastic3000, public,5,1,1,1,0,7,physical,video
569,38, Male, Graduate,70, your social security number, cubetastic3000, friends,5,1,1,1,0,7,financial,demographic
569,38, Male, Graduate,70, your credit card information, cubetastic3000, public,5,1,1,1,0,7,financial,demographic
2010,32, Female, Masters,34,unmuted a call, smartphone, noone,3,0,0,0,0,3.4,,
2010,32, Female, Masters,34,took screenshots while using other apps, smartphone, noone,2,0,0,0,0,3.4,,
2010,32, Female, Masters,34, your gender, cubetastic3000, appserver,1,0,1,0,1,3.4,medical,demographic
2010,32, Female, Masters,34, when and how much you have sex, cubetastic3000, public,3,0,1,0,0,3.4,medical,behavior
2010,32, Female, Masters,34, shared photos others sent to you saved on your device, cubetastic3000, public,2,0,1,0,0,3.4,relationships,photo
2010,32, Female, Masters,34, videos at work (with an outward-facing camera), cubetastic3000, public,2,0,1,0,0,3.4,relationships,video
2010,32, Female, Masters,34, where you work somehow (looking at your map settings or history or observing documents and commutes), cubetastic3000, work,1,0,1,0,0,3.4,physical,demographic
2010,32, Female, Masters,34, your social security number, cubetastic3000, appserver,5,0,1,1,1,3.4,financial,demographic
1314,44, Male, Masters,67,connected to a bluetooth device, smartphone, noone,4,1,0,0,0,6.7,,
1314,44, Male, Masters,67,took screenshots while using other apps, smartphone, noone,4,1,0,0,0,6.7,,
1314,44, Male, Masters,67, scanned your eye to learn your eye patterns (for eye tracking), cubetastic3000, friends,4,1,1,0,0,6.7,medical,biometric
1314,44, Male, Masters,67, when you are busy or interruptible, cubetastic3000, public,2,1,1,0,0,6.7,image,behavior
1314,44, Male, Masters,67, shared videos others sent you saved on your device, cubetastic3000, friends,5,1,1,1,0,6.7,relationships,video
1314,44, Male, Masters,67, a video of you unclothed, cubetastic3000, friends,5,1,1,1,0,6.7,image,video
1314,44, Male, Masters,67, a video of you off-guard, cubetastic3000, public,4,1,1,0,0,6.7,image,video
1314,44, Male, Masters,67, your credit card information, cubetastic3000, work,5,1,1,1,0,6.7,financial,demographic
997,30, Female, Masters,65,took screenshots while using other apps, smartphone, noone,5,0,0,1,0,6.5,,
997,30, Female, Masters,65,sent premium texts or calls, smartphone, noone,5,0,0,1,0,6.5,,
997,30, Female, Masters,65, the language you were speaking, cubetastic3000, public,4,0,1,0,0,6.5,image,demographic
997,30, Female, Masters,65, recorded your passing conversations, cubetastic3000, friends,5,0,1,1,0,6.5,relationships,audio
997,30, Female, Masters,65, a photo of you unclothed, cubetastic3000, appserver,5,0,1,1,1,6.5,image,photo
997,30, Female, Masters,65, videos of you (with an inward-facing camera) at random, cubetastic3000, work,5,0,1,1,0,6.5,image,video
997,30, Female, Masters,65, a video of you entering in a digital passcode to a locked door, cubetastic3000, appserver,5,0,1,1,1,6.5,physical,video
997,30, Female, Masters,65, where you are (like a GPS), cubetastic3000, friends,5,0,1,1,0,6.5,physical,behavior
1896,19, Female, Somecollege,61,vibration, smartphone, noone,1,0,0,0,0,6.1,,
1896,19, Female, Somecollege,61,connected to a bluetooth device, smartphone, noone,2,0,0,0,0,6.1,,
1896,19, Female, Somecollege,61, your age, cubetastic3000, friends,2,0,1,0,0,6.1,medical,demographic
1896,19, Female, Somecollege,61, recorded your work conversations, cubetastic3000, work,5,0,1,1,0,6.1,relationships,audio
1896,19, Female, Somecollege,61, a photo of you off-guard, cubetastic3000, public,4,0,1,0,0,6.1,image,photo
1896,19, Female, Somecollege,61, what products you buy, cubetastic3000, work,5,0,1,1,0,6.1,image,behavior
1896,19, Female, Somecollege,61, your address, cubetastic3000, work,5,0,1,1,0,6.1,physical,demographic
1896,19, Female, Somecollege,61, your username and password for websites, cubetastic3000, public,5,0,1,1,0,6.1,financial,demographic
593,22, Female, Bachelors,53,vibration, smartphone, noone,2,0,0,0,0,5.3,,
593,22, Female, Bachelors,53,sent premium texts or calls, smartphone, noone,5,0,0,1,0,5.3,,
593,22, Female, Bachelors,53," when, how much, and what you are eating", cubetastic3000, public,4,0,1,0,0,5.3,medical,behavior
593,22, Female, Bachelors,53, how close you are to other people you interact with, cubetastic3000, appserver,3,0,1,0,1,5.3,relationships,behavior
593,22, Female, Bachelors,53, shared photos you which are already on your device, cubetastic3000, appserver,5,0,1,1,1,5.3,image,photo
593,22, Female, Bachelors,53, a photo of you off-guard, cubetastic3000, work,5,0,1,1,0,5.3,image,photo
593,22, Female, Bachelors,53, an incriminating video of you doing something embarrassing, cubetastic3000, appserver,5,0,1,1,1,5.3,image,video
593,22, Female, Bachelors,53, what television shows you watch, cubetastic3000, work,3,0,1,0,0,5.3,image,behavior
1817,26, Male, Graduate,63,connected to a bluetooth device, smartphone, noone,2,1,0,0,0,6.3,,
1817,26, Male, Graduate,63,unmuted a call, smartphone, noone,3,1,0,0,0,6.3,,
1817,26, Male, Graduate,63, recorded your passing conversations, cubetastic3000, appserver,5,1,1,1,1,6.3,relationships,audio
1817,26, Male, Graduate,63, videos of people (with an outward-facing camera) at random, cubetastic3000, friends,5,1,1,1,0,6.3,relationships,video
1817,26, Male, Graduate,63, videos at work (with an outward-facing camera), cubetastic3000, work,5,1,1,1,0,6.3,relationships,video
1817,26, Male, Graduate,63, your name, cubetastic3000, work,5,1,1,1,0,6.3,financial,demographic
1817,26, Male, Graduate,63, your social security number, cubetastic3000, public,5,1,1,1,0,6.3,financial,demographic
1817,26, Male, Graduate,63, your username for websites, cubetastic3000, public,5,1,1,1,0,6.3,financial,demographic
528,37, Male, Highschool,69,vibration, smartphone, noone,2,1,0,0,0,6.9,,
528,37, Male, Highschool,69,took screenshots while using other apps, smartphone, noone,5,1,0,1,0,6.9,,
528,37, Male, Highschool,69,took screenshots while using other apps, cubetastic3000, noone,5,1,1,1,0,6.9,,
528,37, Male, Highschool,69, shared videos you which are already on your device, cubetastic3000, friends,5,1,1,1,0,6.9,image,video
528,37, Male, Highschool,69, an incriminating video of you doing something embarrassing, cubetastic3000, work,5,1,1,1,0,6.9,image,video
528,37, Male, Highschool,69, a video of you entering in your PIN at an ATM, cubetastic3000, friends,5,1,1,1,0,6.9,financial,video
528,37, Male, Highschool,69, where you are (like a GPS), cubetastic3000, friends,5,1,1,1,0,6.9,physical,behavior
528,37, Male, Highschool,69, your username for websites, cubetastic3000, appserver,5,1,1,1,1,6.9,financial,demographic
453,42, Male, Somecollege,61,vibration, smartphone, noone,2,1,0,0,0,6.1,,
453,42, Male, Somecollege,61,took screenshots while using other apps, smartphone, noone,5,1,0,1,0,6.1,,
453,42, Male, Somecollege,61,unmuted a call, cubetastic3000, noone,5,1,1,1,0,6.1,,
453,42, Male, Somecollege,61,sent premium texts or calls, cubetastic3000, noone,5,1,1,1,0,6.1,,
