Response ID,AGE,SEX,EDUCATION,TOTAL IUIPC (70),VUR (out of 8) ,Answers,Likert
729,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",56,2,8,2.75
1079,29,Male,Master's degree,60,7,8,4.875
1692,34,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,7,8,4.625
2311,62,Female,"High school graduate, diploma or the equivalent (for example: GED)",68,5,8,4.625
1766,43,Male,"High school graduate, diploma or the equivalent (for example: GED)",47,6,8,4.25
1726,22,Male,"Some college credit,  or Associate's degree",57,6,8,4.5
581,45,Male,Bachelorês degree,70,4,8,4.375
1832,29,Female,Bachelorês degree,62,6,8,4.25
858,49,Male,Bachelorês degree,67,7,8,4.625
2215,21,Male,"Some college credit,  or Associate's degree",56,5,8,4.5
1951,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",68,3,8,3.875
247,28,Female,Bachelorês degree,64,5,8,4.25
1785,23,Male,"High school graduate, diploma or the equivalent (for example: GED)",61,3,8,3.875
1878,51,Female,Bachelorês degree,46,0,8,3.25
2325,27,Male,"Some college credit,  or Associate's degree",61,3,7,3.25
2260,27,Male,Bachelorês degree,53,2,8,3.75
1740,34,Male,"Some college credit,  or Associate's degree",65,8,8,5
1158,37,Female,"Some high school, no diploma",64,5,8,3.875
1363,25,Female,"Some college credit,  or Associate's degree",66,7,8,4.5
1152,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",61,2,8,3.375
1935,39,Female,"High school graduate, diploma or the equivalent (for example: GED)",55,5,8,4
452,36,Female,"Some college credit,  or Associate's degree",69,8,8,5
784,27,Female,Bachelorês degree,56,5,8,3.875
287,39,Female,"High school graduate, diploma or the equivalent (for example: GED)",65,3,8,3.625
2134,24,,"Some college credit,  or Associate's degree",40,3,8,3
1911,59,Male,Master's degree,63,5,8,4.375
560,41,Male,"High school graduate, diploma or the equivalent (for example: GED)",68,7,8,4.875
987,30,Female,"Some college credit,  or Associate's degree",61,7,8,4.875
1506,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",66,2,8,3.625
391,29,Female,"High school graduate, diploma or the equivalent (for example: GED)",56,5,8,4.625
2057,31,Female,Bachelorês degree,64,5,8,4
1032,24,Male,Bachelorês degree,55,4,8,4
2333,46,Female,Master's degree,63,5,8,4.625
1590,22,Male,Bachelorês degree,57,3,8,3.75
652,31,Female,Bachelorês degree,70,7,7,4.375
1153,32,Male,"Some college credit,  or Associate's degree",70,8,8,5
307,25,Male,Master's degree,62,3,8,3.75
684,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",55,6,7,3.875
2046,22,Male,Bachelorês degree,53,2,8,3.875
979,38,Female,"Some college credit,  or Associate's degree",57,7,8,4.625
1635,50,Female,Bachelorês degree,70,5,7,3.625
299,52,Male,"Some college credit,  or Associate's degree",49,1,8,2.25
115,34,Female,Bachelorês degree,57,4,8,3.625
2234,27,Male,"High school graduate, diploma or the equivalent (for example: GED)",56,2,8,2.875
335,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,5,8,3.875
1743,33,Female,Bachelorês degree,59,6,8,4.75
1994,54,Male,"Some college credit,  or Associate's degree",63,5,8,4.5
143,28,Male,"Some college credit,  or Associate's degree",65,7,8,4.875
264,50,Male,"Some college credit,  or Associate's degree",64,5,8,4.25
2124,46,Female,Bachelorês degree,68,7,8,4.875
384,28,Male,"Some college credit,  or Associate's degree",51,7,7,4.375
2079,24,Female,"Some college credit,  or Associate's degree",62,1,8,2.75
1328,25,Male,Bachelorês degree,70,6,8,4
827,23,Male,Bachelorês degree,63,4,8,4.125
344,19,Male,"Some college credit,  or Associate's degree",58,1,8,3.25
1967,23,Male,Bachelorês degree,64,6,8,4.5
1934,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",70,6,8,4.75
1261,27,Male,Bachelorês degree,70,8,8,5
1174,23,Male,"Some college credit,  or Associate's degree",65,5,8,4.5
2098,31,Female,Bachelorês degree,56,3,8,3.875
1917,27,Male,"Some college credit,  or Associate's degree",65,6,8,4.75
844,25,Female,"Some college credit,  or Associate's degree",64,2,8,3.625
1121,34,Female,"Some college credit,  or Associate's degree",65,6,8,4.5
2130,22,Female,"High school graduate, diploma or the equivalent (for example: GED)",55,8,8,5
1196,36,Male,"High school graduate, diploma or the equivalent (for example: GED)",69,4,8,4.125
1527,25,Female,Bachelorês degree,50,7,8,4.625
1847,24,Female,"Some college credit,  or Associate's degree",62,6,7,4.25
1879,25,Male,Master's degree,52,4,8,3.875
589,37,Male,Bachelorês degree,50,6,8,4.625
269,31,Male,"Some high school, no diploma",42,0,8,3.25
1546,None,Male,"High school graduate, diploma or the equivalent (for example: GED)",35,1,8,3.125
1729,23,Female,Bachelorês degree,63,4,8,3.75
939,28,Female,Bachelorês degree,65,4,8,4.375
1424,33,Female,Master's degree,55,5,8,4.25
497,22,Male,"Some college credit,  or Associate's degree",61,7,8,4.875
1574,19,Male,"Some college credit,  or Associate's degree",64,5,8,3.875
2368,39,Male,Bachelorês degree,67,6,8,4.625
536,22,Female,Bachelorês degree,47,5,8,4.5
838,24,Male,"High school graduate, diploma or the equivalent (for example: GED)",60,0,8,3.875
705,31,Male,Bachelorês degree,52,7,8,4.75
1063,54,Male,Master's degree,60,4,8,4.5
1489,30,Male,Bachelorês degree,55,3,7,3.375
1572,26,Male,Master's degree,56,3,8,3.875
1922,31,Male,Bachelorês degree,48,1,8,2.375
1438,31,Male,"Some college credit,  or Associate's degree",68,8,8,5
541,33,Female,"Some college credit,  or Associate's degree",66,8,8,5
2141,43,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",60,6,8,4.625
2009,20,Female,Bachelorês degree,60,6,8,4.75
2193,58,Female,"Some college credit,  or Associate's degree",66,6,7,4.125
1732,21,Male,"Some college credit,  or Associate's degree",67,4,8,3.625
2231,26,Female,Bachelorês degree,66,6,8,4.75
1958,50,Female,"Some college credit,  or Associate's degree",67,5,8,3.875
1006,27,Male,"Some college credit,  or Associate's degree",62,2,8,3.75
1752,21,Male,"Some college credit,  or Associate's degree",51,7,8,4.75
1904,55,Male,"Some college credit,  or Associate's degree",55,4,8,4.125
2006,42,Female,Master's degree,55,2,8,3.875
1735,29,Male,Bachelorês degree,67,4,8,4.25
292,26,Male,Bachelorês degree,60,5,8,4.125
1672,23,Male,"Some college credit,  or Associate's degree",67,4,8,3.5
924,29,Female,"Some college credit,  or Associate's degree",55,4,7,3.5
2337,27,Female,"Some college credit,  or Associate's degree",60,4,8,3.75
736,28,Female,"High school graduate, diploma or the equivalent (for example: GED)",59,5,8,4.375
1197,44,Female,"High school graduate, diploma or the equivalent (for example: GED)",68,7,8,4.5
1258,56,Male,"Some college credit,  or Associate's degree",60,5,8,3.75
1807,32,Male,"Some college credit,  or Associate's degree",50,1,8,3.25
1733,30,Male,Master's degree,59,3,8,3.75
911,22,Male,"Some college credit,  or Associate's degree",63,2,8,2.75
904,37,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,6,8,4.5
910,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",69,7,7,4.375
1903,62,Female,Bachelorês degree,63,4,7,3.5
899,47,Female,"Some college credit,  or Associate's degree",62,8,8,5
1301,19,Male,"Some college credit,  or Associate's degree",68,6,8,4.625
1665,25,Male,"High school graduate, diploma or the equivalent (for example: GED)",67,4,8,4.125
1753,38,Male,Bachelorês degree,58,5,8,4.375
874,44,Male,Bachelorês degree,66,5,8,4.375
425,30,Female,"Some college credit,  or Associate's degree",68,3,8,4.125
1420,25,Male,Bachelorês degree,70,5,8,3.875
1646,26,Female,"Some college credit,  or Associate's degree",61,8,8,5
1545,28,Male,Bachelorês degree,55,2,8,3.375
1248,28,Male,"Some college credit,  or Associate's degree",58,3,8,3.875
2008,50,Male,"Some college credit,  or Associate's degree",58,1,8,3.875
1224,50,Male,Bachelorês degree,70,8,8,5
2157,34,Male,Master's degree,41,2,8,3.125
1340,22,Male,"Some college credit,  or Associate's degree",39,0,8,2.375
787,24,Male,Bachelorês degree,58,4,8,3.5
2173,28,Other,"Some college credit,  or Associate's degree",67,5,8,4.375
1598,30,Male,Bachelorês degree,62,4,8,4
1549,27,Male,"Some college credit,  or Associate's degree",50,0,8,3
49,30,Female,Bachelorês degree,47,2,7,2.125
1315,46,Female,Bachelorês degree,70,8,8,5
1442,22,Female,"Some college credit,  or Associate's degree",57,0,8,3.25
1243,20,Female,"Some college credit,  or Associate's degree",69,7,8,4.875
1891,66,Female,Master's degree,67,7,8,4.875
2312,21,Male,"Some college credit,  or Associate's degree",61,2,8,3.625
1568,27,Female,Bachelorês degree,53,7,8,4.5
1534,43,Male,Master's degree,70,7,8,4.75
1722,35,Male,Bachelorês degree,55,2,8,4.125
990,24,Male,Bachelorês degree,61,1,8,1.75
1544,23,Female,Bachelorês degree,58,4,8,4
385,59,Male,"Some college credit,  or Associate's degree",68,4,7,4
464,30,Male,"Some college credit,  or Associate's degree",54,4,8,3.625
1932,35,Male,Bachelorês degree,58,6,8,4.625
1963,27,Female,"High school graduate, diploma or the equivalent (for example: GED)",50,3,8,3.75
2357,23,Male,"Some college credit,  or Associate's degree",60,6,8,4.25
879,25,Female,"Some college credit,  or Associate's degree",64,4,8,3.875
1146,23,Male,"Some college credit,  or Associate's degree",60,5,8,3.75
1599,18,Male,"Some college credit,  or Associate's degree",69,5,8,4.5
2100,28,,"Some college credit,  or Associate's degree",67,5,7,4.125
851,25,Male,Bachelorês degree,68,7,8,4.625
1059,27,Female,Bachelorês degree,50,6,8,4.625
595,39,Male,Bachelorês degree,70,5,8,4.375
2039,39,Female,Bachelorês degree,68,7,7,4.375
2342,21,Female,"Some college credit,  or Associate's degree",45,2,8,3.25
1532,25,Female,Bachelorês degree,60,5,8,4
1113,24,Female,Bachelorês degree,69,7,8,4.75
727,21,Male,"Some college credit,  or Associate's degree",59,5,8,4.5
626,42,Male,"Some college credit,  or Associate's degree",63,6,8,4.25
2323,39,Female,Master's degree,41,3,8,3.375
2338,33,Male,"Some college credit,  or Associate's degree",58,1,8,3.375
388,20,Female,"Some college credit,  or Associate's degree",62,5,8,4.5
1361,37,Male,"Some college credit,  or Associate's degree",70,5,8,3.75
50,31,Female,"High school graduate, diploma or the equivalent (for example: GED)",69,5,8,4.25
1407,35,Female,Master's degree,58,1,8,3.625
1660,24,Female,"Some college credit,  or Associate's degree",69,7,8,4.875
1933,28,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",68,3,8,3.75
1841,33,Male,Bachelorês degree,58,1,7,2.625
70,28,Female,"Some college credit,  or Associate's degree",63,7,8,4.5
1885,38,Male,"Some college credit,  or Associate's degree",63,4,8,3.5
370,37,Female,"Some college credit,  or Associate's degree",61,3,8,3.5
575,55,Female,"High school graduate, diploma or the equivalent (for example: GED)",67,1,7,3.5
856,36,Male,Bachelorês degree,54,3,8,3.25
390,29,Female,Bachelorês degree,70,8,8,5
1479,35,Male,Master's degree,70,8,8,5
1600,33,Male,Bachelorês degree,68,5,7,3.875
1541,43,Female,Bachelorês degree,57,6,8,4.375
2267,32,Male,Bachelorês degree,62,2,8,4.125
580,43,Female,"Some college credit,  or Associate's degree",65,8,8,5
779,25,Male,Master's degree,57,7,8,4.875
1080,38,Female,Master's degree,61,6,8,4.75
1523,33,Female,Bachelorês degree,70,8,8,5
880,27,Male,"Some college credit,  or Associate's degree",53,6,8,4.75
2096,22,Male,"Some college credit,  or Associate's degree",66,6,7,4.125
1578,30,Male,"Some high school, no diploma",69,5,8,4.125
1864,32,Female,Bachelorês degree,56,2,8,3.5
1331,32,Male,"Some college credit,  or Associate's degree",66,5,8,4.5
828,31,Male,Bachelorês degree,52,5,7,4.125
78,31,Male,"Some college credit,  or Associate's degree",70,6,8,4.75
549,25,Female,"Some college credit,  or Associate's degree",66,6,8,4
1365,34,Male,"Some college credit,  or Associate's degree",62,4,8,3.625
2126,19,Female,"Some college credit,  or Associate's degree",49,3,8,3.875
2322,28,Male,"Some college credit,  or Associate's degree",51,3,8,3.25
1852,29,Male,"Some college credit,  or Associate's degree",57,6,8,4
1285,27,Female,Bachelorês degree,56,2,8,3.625
1446,36,Female,"Some college credit,  or Associate's degree",67,5,8,4.375
651,52,Male,"Some college credit,  or Associate's degree",65,6,8,4.75
2063,36,Male,Master's degree,49,1,6,2.375
1703,27,Male,Bachelorês degree,61,5,8,4.375
442,23,Male,"Some college credit,  or Associate's degree",56,4,8,3.625
1465,40,Male,"Some college credit,  or Associate's degree",64,5,8,4.375
735,34,Male,"Some college credit,  or Associate's degree",67,8,8,5
2386,31,Female,Master's degree,64,4,8,4.125
959,36,Male,"Some college credit,  or Associate's degree",57,4,8,3.625
1130,25,Male,"Some college credit,  or Associate's degree",64,2,8,3.5
2265,24,Male,Bachelorês degree,60,4,8,4
1923,34,Female,"Some college credit,  or Associate's degree",65,8,8,5
1890,38,Male,Bachelorês degree,67,6,8,4.75
1400,34,Male,"Some college credit,  or Associate's degree",70,8,8,5
2027,63,Male,Bachelorês degree,69,7,7,4.375
1698,25,Male,Bachelorês degree,61,3,7,3.75
1312,20,Female,"High school graduate, diploma or the equivalent (for example: GED)",57,1,8,4
1299,35,Male,Bachelorês degree,62,2,8,4.25
695,30,Male,Bachelorês degree,58,0,8,3.625
1311,28,Female,"Some college credit,  or Associate's degree",54,3,7,2.5
1675,50,Female,"Some college credit,  or Associate's degree",62,2,8,3.625
902,22,Male,"Some college credit,  or Associate's degree",58,5,8,4.5
597,23,Male,"Some college credit,  or Associate's degree",64,3,8,3.875
1362,33,Male,Bachelorês degree,70,4,7,3.375
675,32,Female,"Some college credit,  or Associate's degree",40,7,8,4.5
2385,23,Female,"Some college credit,  or Associate's degree",47,5,8,3.875
785,28,Male,Master's degree,52,5,8,4.25
1427,24,Male,Bachelorês degree,57,5,8,4.125
1741,20,Female,"Some college credit,  or Associate's degree",65,6,8,4.5
1128,19,Male,"Some college credit,  or Associate's degree",60,3,8,4.125
746,26,Female,Master's degree,44,5,8,4.25
831,25,Female,"Some college credit,  or Associate's degree",68,6,8,4.75
2221,28,Male,"Some college credit,  or Associate's degree",65,5,8,4.625
282,33,Female,"High school graduate, diploma or the equivalent (for example: GED)",56,4,8,4.375
326,24,Other,"Some college credit,  or Associate's degree",58,6,8,4.625
1825,37,Male,Master's degree,63,5,7,3.625
731,21,Female,"Some college credit,  or Associate's degree",53,4,8,3.875
1914,29,Female,Master's degree,64,2,8,2.75
42,34,Male,"Some college credit,  or Associate's degree",44,1,8,3.625
1795,42,Female,Master's degree,61,4,8,4.25
1633,24,Male,Bachelorês degree,56,4,8,4.125
1775,25,Male,Master's degree,70,8,8,5
782,43,Female,"Some college credit,  or Associate's degree",62,7,8,4.875
1228,26,Male,"Some college credit,  or Associate's degree",64,5,8,4.625
1582,36,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,5,8,3.875
1235,28,Female,Bachelorês degree,48,6,8,4.375
111,25,Female,Bachelorês degree,63,4,8,4
956,68,Female,"High school graduate, diploma or the equivalent (for example: GED)",55,7,8,4.875
184,32,Male,Bachelorês degree,68,8,8,5
1576,26,Female,Bachelorês degree,53,6,8,4.375
1512,22,Female,"Some college credit,  or Associate's degree",61,2,8,3.5
628,38,Female,Master's degree,68,7,8,4.875
2073,30,Male,Bachelorês degree,49,1,7,2.625
1010,23,Male,"High school graduate, diploma or the equivalent (for example: GED)",44,4,8,4.375
1077,28,Male,Master's degree,70,7,8,4.875
1140,26,Male,"Some college credit,  or Associate's degree",61,5,7,4.125
1454,34,Female,"Some college credit,  or Associate's degree",61,8,8,5
1969,37,Female,Bachelorês degree,54,5,8,4.625
2165,36,Female,"High school graduate, diploma or the equivalent (for example: GED)",56,5,8,4.5
1822,26,Male,Bachelorês degree,70,6,7,3.875
1647,55,Male,Master's degree,63,4,8,4.5
338,22,Male,"Some college credit,  or Associate's degree",61,3,7,3.25
919,22,Male,"Some college credit,  or Associate's degree",59,2,8,3.875
685,38,Male,"Some college credit,  or Associate's degree",61,6,8,4.75
1168,41,Male,"Some college credit,  or Associate's degree",63,4,8,3.625
1195,27,Male,"Some college credit,  or Associate's degree",68,4,8,4.375
2261,27,Male,Bachelorês degree,62,4,8,4.125
2339,30,Female,Master's degree,65,5,8,4.375
634,30,Male,Bachelorês degree,67,4,7,4
592,31,Male,Bachelorês degree,49,3,8,3.375
471,21,Male,"High school graduate, diploma or the equivalent (for example: GED)",51,1,8,3.625
1369,39,Female,Bachelorês degree,65,3,8,4
802,37,Female,Bachelorês degree,63,7,8,4.75
1405,28,Female,"Some college credit,  or Associate's degree",61,6,8,4.125
926,67,Female,Bachelorês degree,69,8,8,5
928,27,Male,Bachelorês degree,55,4,8,3.875
1554,26,Female,"Some college credit,  or Associate's degree",68,6,8,4
1043,22,Male,"Some college credit,  or Associate's degree",47,0,7,1.375
2158,43,Female,"Some college credit,  or Associate's degree",64,4,8,3.75
1345,26,Female,Master's degree,55,1,7,2.625
761,25,Male,Bachelorês degree,53,4,8,4.25
1919,24,Male,Bachelorês degree,59,2,8,3.625
950,31,Male,Bachelorês degree,53,2,8,3.375
1676,24,Male,"Some college credit,  or Associate's degree",56,4,8,4.125
2036,30,Male,"Some college credit,  or Associate's degree",61,7,8,4.75
842,33,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,4,8,4
2254,56,Female,Bachelorês degree,70,8,8,5
660,46,Male,"High school graduate, diploma or the equivalent (for example: GED)",68,5,8,4.625
1797,44,Male,"Some college credit,  or Associate's degree",67,6,8,4.75
886,40,Male,"Some college credit,  or Associate's degree",63,4,8,4.25
2253,27,Female,Master's degree,61,4,8,4.375
2279,55,Male,Master's degree,62,7,8,4.875
532,27,Male,"Some college credit,  or Associate's degree",62,4,8,4.125
1651,22,Male,"Some college credit,  or Associate's degree",61,6,8,4.625
215,29,Female,Bachelorês degree,54,7,8,4.75
1386,44,Female,"Some college credit,  or Associate's degree",60,3,8,4.125
1349,27,Male,"Some college credit,  or Associate's degree",65,3,8,3.375
489,27,Male,Bachelorês degree,67,8,8,5
1772,30,Female,"Some college credit,  or Associate's degree",68,7,8,4.75
1661,23,Female,Bachelorês degree,63,5,8,4.625
182,30,Female,"Some college credit,  or Associate's degree",61,3,8,3.75
762,26,Male,Bachelorês degree,58,1,8,3.125
1047,24,Male,Bachelorês degree,62,4,8,4.125
941,26,Male,"Some college credit,  or Associate's degree",60,1,8,3.5
1253,26,Female,Bachelorês degree,57,5,8,4.25
1762,59,Male,Bachelorês degree,67,3,7,3.5
226,42,Male,Bachelorês degree,62,3,7,3
2371,32,Female,"High school graduate, diploma or the equivalent (for example: GED)",68,5,8,4.125
410,22,Female,Bachelorês degree,57,4,8,4.375
1942,30,Male,"Some college credit,  or Associate's degree",70,8,8,5
2000,30,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",67,4,8,4.25
190,27,Male,Bachelorês degree,70,7,7,4.375
682,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",52,6,8,4.125
1372,29,Male,Bachelorês degree,55,3,8,4.375
2102,22,Female,"Some college credit,  or Associate's degree",57,5,8,4.625
796,22,Male,"Some college credit,  or Associate's degree",59,3,8,3.875
2378,26,Female,Bachelorês degree,55,3,8,4
1855,24,Female,Master's degree,54,6,8,4.5
448,37,Female,Bachelorês degree,57,5,8,4
2232,29,Male,Master's degree,57,4,7,3.75
673,28,Male,"Some college credit,  or Associate's degree",45,3,7,3.625
1036,30,Male,"Some college credit,  or Associate's degree",70,7,8,4.875
1737,24,Male,"High school graduate, diploma or the equivalent (for example: GED)",56,5,8,4.625
1065,26,Male,,42,2,8,3.875
1048,25,Male,"Some college credit,  or Associate's degree",67,4,7,3.5
1133,24,Male,Bachelorês degree,67,7,8,4.875
2068,21,Male,"High school graduate, diploma or the equivalent (for example: GED)",59,4,8,3.625
24,28,Female,Bachelorês degree,64,6,8,4.75
1557,30,Male,"Some college credit,  or Associate's degree",67,8,8,5
134,41,Female,"Some college credit,  or Associate's degree",62,5,7,4.125
1259,23,Male,Bachelorês degree,49,5,8,4.5
2064,31,Male,Bachelorês degree,59,1,7,2.875
2144,25,Male,,51,5,8,4
1991,37,Male,Bachelorês degree,45,3,8,4.125
2136,30,Male,Bachelorês degree,52,6,8,4
1976,23,Male,"Some college credit,  or Associate's degree",59,2,7,3.25
2272,19,Male,Bachelorês degree,66,4,8,3.375
1685,23,Male,Bachelorês degree,61,5,8,4.5
232,36,Male,Bachelorês degree,58,2,8,3
199,35,Male,"Some college credit,  or Associate's degree",69,6,8,4.75
1114,23,Male,"Some college credit,  or Associate's degree",70,8,8,5
2391,27,Male,"Some college credit,  or Associate's degree",68,5,8,4.375
1974,18,Male,"High school graduate, diploma or the equivalent (for example: GED)",64,5,8,4.25
1664,34,Female,Bachelorês degree,56,4,8,4.375
1765,40,Male,"Some college credit,  or Associate's degree",65,6,7,4
2044,29,Male,"Some college credit,  or Associate's degree",62,5,7,3.5
1093,33,Female,"Some college credit,  or Associate's degree",59,3,8,3.5
1695,35,Male,"Some college credit,  or Associate's degree",47,2,8,3.875
559,30,Male,"Some college credit,  or Associate's degree",65,4,8,3.875
2162,61,Female,"Some college credit,  or Associate's degree",62,5,8,4.25
1270,37,Female,Bachelorês degree,66,6,8,4.625
2030,56,Female,Bachelorês degree,63,5,8,4.625
523,23,Female,Bachelorês degree,61,0,8,2.5
1798,46,Male,"Some college credit,  or Associate's degree",70,6,8,4.625
2041,20,Male,"Some college credit,  or Associate's degree",42,1,8,2.375
1783,36,Male,"Some college credit,  or Associate's degree",70,7,8,4.875
1307,23,Male,Bachelorês degree,56,3,8,3.75
1696,28,Male,Master's degree,57,3,8,3.75
1370,21,Female,"Some college credit,  or Associate's degree",68,5,8,4.5
1278,33,Female,"Some college credit,  or Associate's degree",64,8,8,5
420,24,Female,"Some college credit,  or Associate's degree",67,8,8,5
1204,28,Male,Bachelorês degree,62,6,8,4.375
1492,51,Female,"Some college credit,  or Associate's degree",64,7,8,4.75
1823,37,Male,Bachelorês degree,67,7,8,4.5
2379,45,Female,Master's degree,58,4,8,3.875
1137,44,Female,"Some college credit,  or Associate's degree",67,7,8,4.75
310,24,Female,"Some college credit,  or Associate's degree",69,6,8,4.5
1620,33,Male,"Some college credit,  or Associate's degree",69,8,8,5
1052,34,Female,Bachelorês degree,48,1,8,3
1530,41,Male,"Some college credit,  or Associate's degree",55,5,8,4.375
681,27,Female,"Some college credit,  or Associate's degree",69,3,8,3.125
2227,24,Male,Bachelorês degree,70,8,8,5
1533,26,Female,"High school graduate, diploma or the equivalent (for example: GED)",65,6,8,4.75
1461,27,Female,Bachelorês degree,55,5,8,4.125
770,34,Male,Bachelorês degree,59,4,8,4.25
1066,37,Male,"High school graduate, diploma or the equivalent (for example: GED)",43,4,8,4.125
304,22,Male,"Some college credit,  or Associate's degree",57,6,7,4.125
364,30,Male,Master's degree,62,4,8,4
1396,37,Female,Bachelorês degree,58,4,8,4.25
1220,22,Male,"Some college credit,  or Associate's degree",57,6,8,4.625
1536,24,Female,Bachelorês degree,60,4,8,4.125
632,21,Other,"Some college credit,  or Associate's degree",70,5,7,3.375
790,25,Female,Bachelorês degree,52,5,8,4.125
2110,30,Male,"Some college credit,  or Associate's degree",41,1,8,3.125
194,31,Female,"High school graduate, diploma or the equivalent (for example: GED)",62,6,8,4.625
456,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",50,4,8,4.25
957,27,Female,Bachelorês degree,63,6,7,4.125
213,26,Male,Bachelorês degree,57,4,8,4
1402,28,Female,"Some college credit,  or Associate's degree",55,5,8,4.625
1356,53,Male,Bachelorês degree,68,5,7,3.875
2293,31,Female,Master's degree,34,4,8,3.75
1159,30,Female,Master's degree,70,8,8,5
316,29,Male,Bachelorês degree,56,4,8,3.75
1468,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",58,6,8,4.625
2161,22,Female,Bachelorês degree,64,6,8,4.5
2129,21,Male,"Some college credit,  or Associate's degree",53,5,8,4
1570,20,Female,"Some college credit,  or Associate's degree",68,4,8,4.5
439,26,Male,Bachelorês degree,60,6,8,4.75
895,35,Female,Bachelorês degree,48,7,8,4.875
1072,28,Female,Master's degree,54,2,8,3.875
1804,22,Male,Bachelorês degree,48,1,8,3.375
463,33,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,8,8,5
639,29,Female,Bachelorês degree,47,6,8,4.375
1495,47,Male,Master's degree,47,2,8,4
2304,29,Male,"Some college credit,  or Associate's degree",55,3,8,4
2194,26,Female,"Some college credit,  or Associate's degree",61,5,7,3.75
1521,19,Male,"Some college credit,  or Associate's degree",55,4,8,4.125
816,24,Female,Bachelorês degree,66,7,8,4.875
638,28,Male,Master's degree,61,5,7,3.5
1464,31,Female,Bachelorês degree,58,6,8,4.5
2121,22,Male,"Some college credit,  or Associate's degree",66,3,8,3.875
1183,24,Female,Bachelorês degree,60,4,8,4.25
1537,38,Female,"Some college credit,  or Associate's degree",66,4,7,3.375
1509,25,Male,Bachelorês degree,64,5,8,4.5
1167,49,Female,Bachelorês degree,56,2,7,3.75
2306,26,Female,Master's degree,57,4,8,3
2280,25,Male,Bachelorês degree,55,5,8,4.125
